TCP, 22:43:50.055323, 54, 46.101.143.173, 443 
TCP, 22:43:50.109620, 1514, 192.168.69.202, 35224 
TCP, 22:43:50.122599, 1514, 192.168.69.202, 35224 
TCP, 22:43:50.122652, 54, 46.101.143.173, 443 
TCP, 22:43:50.128690, 691, 192.168.69.202, 35224 
TCP, 22:43:50.128728, 54, 46.101.143.173, 443 
TCP, 22:43:50.130614, 597, 46.101.143.173, 443 
TCP, 22:43:50.131353, 60, 192.168.69.202, 35224 
TCP, 22:43:50.131685, 597, 46.101.143.173, 443 
TCP, 22:43:50.131861, 60, 192.168.69.202, 35224 
TCP, 22:43:50.131889, 597, 46.101.143.173, 443 
TCP, 22:43:50.132369, 60, 192.168.69.202, 35224 
TCP, 22:43:50.132555, 597, 46.101.143.173, 443 
TCP, 22:43:50.133715, 60, 192.168.69.202, 35224 
TCP, 22:43:50.133845, 2139, 46.101.143.173, 443 
TCP, 22:43:50.134020, 60, 192.168.69.202, 35224 
TCP, 22:43:50.134025, 60, 192.168.69.202, 35224 
TCP, 22:43:50.197467, 1514, 192.168.69.202, 35224 
TCP, 22:43:50.211332, 1514, 192.168.69.202, 35224 
TCP, 22:43:50.211399, 54, 46.101.143.173, 443 
TCP, 22:43:50.215040, 597, 46.101.143.173, 443 
TCP, 22:43:50.215343, 60, 192.168.69.202, 35224 
TCP, 22:43:50.215373, 597, 46.101.143.173, 443 
TCP, 22:43:50.215566, 60, 192.168.69.202, 35224 
TCP, 22:43:50.215576, 597, 46.101.143.173, 443 
TCP, 22:43:50.215783, 60, 192.168.69.202, 35224 
TCP, 22:43:50.216001, 597, 46.101.143.173, 443 
TCP, 22:43:50.216094, 60, 192.168.69.202, 35224 
TCP, 22:43:50.248705, 1514, 192.168.69.202, 35224 
TCP, 22:43:50.262809, 901, 192.168.69.202, 35224 
TCP, 22:43:50.262845, 54, 46.101.143.173, 443 
TCP, 22:43:50.265074, 597, 46.101.143.173, 443 
TCP, 22:43:50.265530, 60, 192.168.69.202, 35224 
TCP, 22:43:50.266059, 597, 46.101.143.173, 443 
TCP, 22:43:50.267342, 60, 192.168.69.202, 35224 
TCP, 22:43:50.395396, 597, 192.168.69.202, 35224 
TCP, 22:43:50.395843, 597, 46.101.143.173, 443 
TCP, 22:43:50.396682, 60, 192.168.69.202, 35224 
TCP, 22:43:50.526891, 597, 192.168.69.202, 35224 
TCP, 22:43:50.563321, 54, 46.101.143.173, 443 
TCP, 22:43:50.591366, 1514, 192.168.69.202, 35224 
TCP, 22:43:50.593851, 597, 46.101.143.173, 443 
TCP, 22:43:50.595381, 60, 192.168.69.202, 35224 
TCP, 22:43:50.636376, 1514, 192.168.69.202, 35224 
TCP, 22:43:50.637402, 597, 46.101.143.173, 443 
TCP, 22:43:50.637549, 60, 192.168.69.202, 35224 
TCP, 22:43:50.657488, 1514, 192.168.69.202, 35224 
TCP, 22:43:50.658461, 2974, 192.168.69.202, 35224 
TCP, 22:43:50.659351, 2974, 192.168.69.202, 35224 
TCP, 22:43:50.659525, 54, 46.101.143.173, 443 
TCP, 22:43:50.659585, 2974, 192.168.69.202, 35224 
TCP, 22:43:50.659661, 54, 46.101.143.173, 443 
TCP, 22:43:50.659913, 597, 46.101.143.173, 443 
TCP, 22:43:50.660461, 60, 192.168.69.202, 35224 
TCP, 22:43:50.660477, 1625, 192.168.69.202, 35224 
TCP, 22:43:50.660479, 54, 46.101.143.173, 443 
TCP, 22:43:50.660687, 1111, 46.101.143.173, 443 
TCP, 22:43:50.663099, 60, 192.168.69.202, 35224 
TCP, 22:43:50.725961, 2974, 192.168.69.202, 35224 
TCP, 22:43:50.726037, 54, 46.101.143.173, 443 
TCP, 22:43:50.790367, 1514, 192.168.69.202, 35224 
TCP, 22:43:50.794270, 387, 192.168.69.202, 35224 
TCP, 22:43:50.794280, 54, 46.101.143.173, 443 
TCP, 22:43:50.794431, 597, 46.101.143.173, 443 
TCP, 22:43:50.794638, 60, 192.168.69.202, 35224 
TCP, 22:43:50.809794, 597, 46.101.143.173, 443 
TCP, 22:43:50.809945, 60, 192.168.69.202, 35224 
TCP, 22:43:50.810185, 597, 46.101.143.173, 443 
TCP, 22:43:50.810246, 60, 192.168.69.202, 35224 
TCP, 22:43:50.810457, 597, 46.101.143.173, 443 
TCP, 22:43:50.810697, 60, 192.168.69.202, 35224 
TCP, 22:43:50.831471, 597, 46.101.143.173, 443 
